Variable,Description,Values
Status,Type of survey observation,"0 / IP Address: A normal response
1 / Survey Preview: A preview response
2 / Survey Test: A test response
4 / Imported: An imported response
8 / Spam: A possible spam response
9  / Preview Spam: A possible spam response submitted through the preview link
12 / Imported Spam: A possible spam response that was imported
16 / Offline: A Qualtrics Offline App response
17 / Offline Preview: Previews submitted through the Qualtrics Offline App. This feature is deprecated in latest versions of the app"
Progress,Percentage of survey completed,0-100
Duration (in seconds),Amount of time participant spent completing survey,
Finished,Indicator of whether participant submitted a completed survey,"0 = participant left survey before completing
1 = participant submitted completed survey"
ResponseId,Qualtrics-generated unique identifier for each participant,
DistributionChannel,Method of survey distribution,"preview = preview version of survey used
anonymous = anonymized official version of survey used"
UserLanguage,Language that participant completed study in,"EN = English
PT-BR = Brazilian Portuguese
ZH-S = Mandarin Chinese
ES = Latin American Spanish
EL = Greek
DA = Danish
HI = Hindi
RU = Russian
KAZ = Kazakh
KO = Korean
MK = Macedonian
NO = Norwegian
PL = Polish
SV = Swedish
TH = Thai
JA = Japanese
TR = Turkish"
consent,"After you have reviewed the consent form, please confirm below that you have reviewed the form and are ready to begin the study.","1 = Yes, I consent
2 = No, I do not consent"
control_events,"Control Condition: ""For the next few minutes, think back over the past day (past 24 hours) and write down five events that somehow affected you.""",
control_interesting,"Control Condition: ""For the next few minutes, think back over the past day (past 24 hours) and write down five interesting events that somehow affected you.""",
grat_list,"Gratitude Intervention: ""For the next few minutes, think back over the past week and write down five things in your life that you are grateful or thankful for.""",
grat_letter,"Gratitude Intervention: ""Today, we want you to write a letter of gratitude (yped communication that is normally sent in an envelope by mail or messenger) towards someone who who has done something for which you are extremely grateful.""",
grat_text,"Gratitude Intervention: ""deeply. Today, we want you to use your cellphone to text (a short electronic message sent from one cell phone to another using a cellular network) someone who has done something for which you are extremely grateful, and thank them for their kind act(s).""",
grat_hk_list,"Gratitude Intervention: ""Please reflect on each of the three good moments by asking yourself three questions. What did I receive? What did I give? What more could I do?""",
grat_sing_sub,"Gratitude Intervention: ""Next, please choose one of the five things you have written and describe how your life would be like if that particular moment or person was not present in your life.""",
grat_god_letter,"Gratitude Intervention: "". Think about how God, a higher power, or some type of spiritual being has benefited you. List how you refer to this entity here and indicate how you would best describe them. Please write a letter to this entity, thanking them for all the ways they have benefited you.""",
happy,"Report of extent that participant experienced feeling ""happy"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
obligated,"Report of extent that participant experienced feeling ""obligated"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
sad,"Report of extent that participant experienced feeling ""sad"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
optimistic,"Report of extent that participant experienced feeling ""optimistic"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
envious,"Report of extent that participant experienced feeling ""envious"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
depressed,"Report of extent that participant experienced feeling ""depressed"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
pleased,"Report of extent that participant experienced feeling ""pleased"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
thankful,"Report of extent that participant experienced feeling ""thankful"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
jealous,"Report of extent that participant experienced feeling ""jealous"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
nervous,"Report of extent that participant experienced feeling ""nervous"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
joyful,"Report of extent that participant experienced feeling ""joyful"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
anxious,"Report of extent that participant experienced feeling ""anxious"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
guilty,"Report of extent that participant experienced feeling ""guilty"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
hopeful,"Report of extent that participant experienced feeling ""jealous"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
bitter,"Report of extent that participant experienced feeling ""nervous"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
appreciative,"Report of extent that participant experienced feeling ""depressed"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
satisfied,"Report of extent that participant experienced feeling ""pleased"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
indebted,"Report of extent that participant experienced feeling ""thankful"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
content,"Report of extent that participant experienced feeling ""hopeful"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
grateful,"Report of extent that participant experienced feeling ""grateful"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
