outcome,contrast,estimate,SE,df,t,p,
gratitude,events - god.letter,-0.52,0.08,36.06,-6.69,***,1
,events - hk.list,-0.75,0.08,36.35,-9.78,***,1
,events - int.events,-0.25,0.07,35.68,-3.6,***,
,events - letter,-1.13,0.09,37.06,-12.04,***,1
,events - list,-0.64,0.08,36.29,-8.36,***,1
,events - measure,-0.08,0.07,35.45,-1.29, ,
,events - sub,-0.77,0.07,36.09,-10.43,***,1
,events - text,-1.12,0.1,37.09,-11.64,***,1
,god.letter - hk.list,-0.22,0.07,35.55,-3.16,**,
,god.letter - int.events,0.28,0.07,35.74,3.82,***,1
,god.letter - letter,-0.61,0.08,36.35,-7.5,***,
,god.letter - list,-0.12,0.06,34.41,-1.88,.,
,god.letter - measure,0.44,0.07,35.52,6.27,***,1
,god.letter - sub,-0.25,0.06,34.23,-3.91,***,
,god.letter - text,-0.6,0.08,36.2,-7.47,***,
,hk.list - int.events,0.5,0.07,35.45,7.61,***,1
,hk.list - letter,-0.38,0.06,34.86,-6.07,***,
,hk.list - list,0.1,0.06,33.68,1.81,.,
,hk.list - measure,0.66,0.08,36.61,8.54,***,1
,hk.list - sub,-0.03,0.06,33.89,-0.43, ,
,hk.list - text,-0.38,0.06,34.63,-5.91,***,
,int.events - letter,-0.88,0.08,36.41,-11.47,***,
,int.events - list,-0.4,0.07,35.27,-6.05,***,
,int.events - measure,0.16,0.07,36.04,2.3,*,
,int.events - sub,-0.53,0.07,35.44,-7.94,***,
,int.events - text,-0.88,0.08,36.59,-10.76,***,
,letter - list,0.48,0.06,34.99,7.59,***,
,letter - measure,1.04,0.1,37.26,10.78,***,
,letter - sub,0.36,0.07,35.31,5.35,***,
,letter - text,0.01,0.06,33.73,0.1, ,
,list - measure,0.56,0.07,36.32,7.47,***,
,list - sub,-0.13,0.06,33.19,-2.28,*,
,list - text,-0.48,0.06,34.7,-7.46,***,
,measure - sub,-0.69,0.07,36.24,-9.4,***,
,measure - text,-1.04,0.1,37.24,-10.76,***,
,sub - text,-0.35,0.07,35.04,-5.25,***,
positive affect,events - god.letter,-0.52,0.07,35.57,-7.12,***,1
,events - hk.list,-0.62,0.07,35.25,-9.34,***,1
,events - int.events,-0.26,0.07,35.56,-3.88,***,
,events - letter,-0.72,0.07,35.8,-10.08,***,1
,events - list,-0.52,0.08,36.05,-6.89,***,1
,events - measure,-0.16,0.07,35.55,-2.35,*,
,events - sub,-0.58,0.06,34.84,-8.97,***,1
,events - text,-0.79,0.08,35.98,-10.49,***,1
,god.letter - hk.list,-0.09,0.06,34.41,-1.45, ,
,god.letter - int.events,0.26,0.07,34.8,3.9,***,1
,god.letter - letter,-0.2,0.06,34.11,-3.14,**,
,god.letter - list,0.01,0.06,33.1,0.1, ,
,god.letter - measure,0.37,0.07,35.09,5.4,***,1
,god.letter - sub,-0.05,0.06,33.56,-0.85, ,
,god.letter - text,-0.27,0.07,34.45,-4.02,***,
,hk.list - int.events,0.35,0.06,35.21,5.44,***,1
,hk.list - letter,-0.11,0.06,34.77,-1.69, ,
,hk.list - list,0.1,0.06,34.33,1.64, ,
,hk.list - measure,0.46,0.07,35.9,6.61,***,1
,hk.list - sub,0.04,0.06,34.1,0.69, ,
,hk.list - text,-0.18,0.06,34.19,-2.84,**,
,int.events - letter,-0.46,0.07,35.67,-6.63,***,
,int.events - list,-0.25,0.07,35.08,-3.88,***,
,int.events - measure,0.11,0.07,35.85,1.55, ,
,int.events - sub,-0.31,0.06,35.16,-4.8,***,
,int.events - text,-0.53,0.07,35.76,-7.38,***,
,letter - list,0.21,0.06,34.97,3.2,**,
,letter - measure,0.56,0.08,36.47,7.25,***,
,letter - sub,0.15,0.07,35.03,2.26,*,
,letter - text,-0.07,0.06,33.76,-1.16, ,
,list - measure,0.36,0.07,35.6,5.26,***,
,list - sub,-0.06,0.06,34.2,-0.96, ,
,list - text,-0.28,0.06,34.63,-4.28,***,
,measure - sub,-0.42,0.06,34.55,-6.78,***,
,measure - text,-0.63,0.08,36.65,-7.77,***,
,sub - text,-0.22,0.07,35.09,-3.22,**,
optimism,events - god.letter,-0.38,0.08,35.89,-4.73,***,1
,events - hk.list,-0.45,0.07,35.51,-6.39,***,1
,events - int.events,-0.21,0.07,35.52,-2.97,**,
,events - letter,-0.46,0.07,35.37,-6.54,***,1
,events - list,-0.41,0.08,35.83,-5.44,***,1
,events - measure,-0.07,0.07,35.7,-1, ,
,events - sub,-0.37,0.07,34.88,-5.41,***,1
,events - text,-0.55,0.07,34.71,-8,***,1
,god.letter - hk.list,-0.07,0.07,34.81,-1.03, ,
,god.letter - int.events,0.17,0.07,35.18,2.37,*,1
,god.letter - letter,-0.08,0.07,34,-1.23, ,
,god.letter - list,-0.03,0.06,33.05,-0.49, ,
,god.letter - measure,0.31,0.07,35.26,4.31,***,1
,god.letter - sub,0.02,0.07,34.41,0.22, ,
,god.letter - text,-0.17,0.07,34.7,-2.33,*,
,hk.list - int.events,0.24,0.07,34.82,3.69,***,1
,hk.list - letter,-0.01,0.06,33.89,-0.15, ,
,hk.list - list,0.04,0.07,34.9,0.62, ,
