Original_1,Original_2,Matched,Match_Method_1,Match_Method_2,resmobility,power-distance,individualism,motivation,uncertainty-avoidance,long-term-orientation,indulgence
US,United states,United States,countrycode,countrycode,0.2156,40,60,62,46,50,68
Egypt,Egypt,Egypt,countrycode,countrycode,0.0748,80,13,55,55,22,0
Morocco,Morocco,Morocco,countrycode,countrycode,0.0967,70,24,53,68,25,25
Lebanon,Lebanon,Lebanon,countrycode,countrycode,0.0553,62,27,48,57,47,10
Saudi Arabia,Saudi arabia,Saudi Arabia,countrycode,countrycode,0.1209,72,48,43,64,27,14
Jordan,Jordan,Jordan,countrycode,countrycode,0.0446,70,20,45,65,20,43
Syria,Syria,Syria,countrycode,countrycode,0.2458,80,35,52,60,30,
Turkey,Turkey,Turkey,countrycode,countrycode,0.0503,66,46,45,85,35,49
Pakistan,Pakistan,Pakistan,countrycode,countrycode,0.0504,55,5,50,70,19,0
Indonesia,Indonesia,Indonesia,countrycode,countrycode,0.0449,78,5,46,48,29,38
Bangladesh,Bangladesh,Bangladesh,countrycode,countrycode,0.0716,80,5,55,60,38,20
UK,United kingdom,United Kingdom,countrycode,countrycode,0.1312,35,76,66,35,60,69
France,France,France,countrycode,countrycode,0.1569,68,74,43,86,60,48
Germany,Germany,Germany,countrycode,countrycode,0.0515,35,79,66,65,57,40
Netherlands,Netherlands,Netherlands,countrycode,countrycode,0.0805,38,100,14,53,67,68
Belgium,Belgium,Belgium,countrycode,countrycode,0.1084,65,81,54,94,61,57
Spain,Spain,Spain,countrycode,countrycode,0.1139,57,67,42,86,47,44
Italy,Italy,Italy,countrycode,countrycode,0.0688,50,53,70,75,39,30
Poland,Poland,Poland,countrycode,countrycode,0.0661,68,47,64,93,49,29
Hungary,Hungary,Hungary,countrycode,countrycode,0.0685,46,71,88,82,45,31
Czech Republic,Czech republic,Czechia,countrycode,countrycode,0.0795,57,70,57,74,51,29
Romania,Romania,Romania,countrycode,countrycode,0.0584,90,46,42,90,32,20
Sweden,Sweden,Sweden,countrycode,countrycode,0.1419,31,87,5,29,52,78
Greece,Greece,Greece,countrycode,countrycode,0.0937,60,59,57,100,51,50
Denmark,Denmark,Denmark,countrycode,countrycode,0.2087,18,89,16,23,59,70
Iran,Iran,Iran,countrycode,countrycode,0.1624,58,23,43,59,30,40
Hong Kong,Hong kong,Hong Kong SAR China,countrycode,countrycode,0.0477,68,50,57,29,93,17
Singapore,Singapore,Singapore,countrycode,countrycode,0.0964,74,43,48,8,67,46
Japan,Japan,Japan,countrycode,countrycode,0.1021,54,62,95,92,100,42
China,China,China,countrycode,countrycode,0.0522,80,43,66,30,77,24
India,India,India,countrycode,countrycode,0.0577,77,24,56,40,51,26
Venezuela,Venezuela,Venezuela,countrycode,countrycode,0.0331,81,26,73,76,0,100
Brazil,Brazil,Brazil,countrycode,countrycode,0.1166,69,36,49,76,28,59
Mexico,Mexico,Mexico,countrycode,countrycode,0.0501,81,34,69,82,23,97
Nigeria,Nigeria,Nigeria,countrycode,countrycode,0.2029,80,0,60,55,8,84
Kenya,Kenya,Kenya,countrycode,countrycode,0.1735,70,4,60,50,11,
Tanzania,Tanzania,Tanzania,countrycode,countrycode,0.1117,70,25,40,50,34,38
Israel,Israel,Israel,countrycode,countrycode,0.1518,13,56,47,81,47,
Palestinian Territories,,Palestinian Territories,countrycode,,0.0537,,,,,,
Ghana,Ghana,Ghana,countrycode,countrycode,0.19,80,9,40,65,1,72
Uganda,,Uganda,countrycode,,0.19,,,,,,
Benin,,Benin,countrycode,,0.063,,,,,,
Madagascar,,Madagascar,countrycode,,0.1066,,,,,,
Malawi,Malawi,Malawi,countrycode,countrycode,0.1953,70,30,40,50,,
South Africa,South africa,South Africa,countrycode,countrycode,0.1105,49,23,63,49,18,63
Canada,Canada,Canada,countrycode,countrycode,0.1751,39,72,52,48,54,68
Australia,Australia,Australia,countrycode,countrycode,0.1313,38,73,61,51,56,71
Philippines,Philippines,Philippines,countrycode,countrycode,0.1069,94,17,64,44,46,42
Sri Lanka,Sri lanka,Sri Lanka,countrycode,countrycode,0.0763,80,35,10,45,45,
Vietnam,Vietnam,Vietnam,countrycode,countrycode,0.0654,70,30,40,30,47,35
Thailand,Thailand,Thailand,countrycode,countrycode,0.0732,64,19,34,64,67,45
Cambodia,,Cambodia,countrycode,,0.1142,,,,,,
Laos,,Laos,countrycode,,0.0705,,,,,,
Myanmar,,Myanmar (Burma),countrycode,,0.048,,,,,,
