country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,NA,NA,NA,0.97,0.97,0.97,0.98,0.98,0.99,0.97,0.97,0.95,0.99
Albania,NA,NA,0.33,NA,0.41,0.42,0.4,0.47,0.46,0.66,0.66,0.7,0.69
Algeria,NA,NA,NA,NA,NA,0.94,0.94,0.91,NA,NA,NA,NA,NA
Angola,NA,NA,NA,NA,NA,NA,0.86,0.82,0.9,0.9,NA,NA,NA
Argentina,NA,0.65,0.63,0.63,0.65,0.67,0.56,0.6,0.68,0.66,0.63,0.63,0.62
Armenia,NA,0.59,0.66,0.7,0.73,0.77,0.74,0.74,0.72,0.73,0.75,0.79,0.74
Australia,0.31,NA,0.33,0.3,NA,0.34,0.32,0.32,0.35,0.31,0.32,0.33,0.32
Austria,NA,0.46,NA,0.56,NA,0.49,0.44,0.48,0.45,0.46,0.45,0.41,0.41
Azerbaijan,NA,0.62,NA,0.52,0.49,0.46,0.45,0.41,0.37,0.35,0.35,0.32,0.3
Bahrain,NA,NA,NA,NA,0.95,0.95,0.95,NA,NA,NA,NA,NA,NA
Bangladesh,NA,0.96,0.98,0.99,1,0.99,0.99,0.97,0.98,0.97,0.98,0.98,0.99
Belarus,NA,0.3,0.28,0.29,0.36,0.41,0.37,0.4,0.41,0.35,0.41,0.34,0.32
Belgium,0.37,NA,0.47,0.38,NA,0.3,0.31,0.4,0.34,0.28,0.3,0.26,0.29
Belize,NA,NA,0.62,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA
Benin,NA,0.88,NA,0.92,NA,NA,0.83,0.84,0.89,0.86,0.91,0.87,0.87
Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0.96,0.97,NA,NA
Bolivia,NA,0.86,0.87,0.87,0.9,0.87,0.9,0.88,0.9,0.9,0.89,0.89,0.86
Bosnia Herzegovina,NA,NA,0.64,NA,0.76,0.64,0.71,0.75,0.69,0.78,0.76,0.75,0.71
Botswana,NA,0.72,NA,0.8,NA,0.85,0.88,0.89,0.91,0.88,0.94,0.96,0.93
Brazil,0.9,NA,0.9,0.9,0.88,0.91,0.89,NA,0.9,0.88,0.89,0.9,0.89
Bulgaria,NA,NA,0.35,NA,NA,0.38,0.43,0.44,0.48,0.46,0.32,0.36,0.35
Burkina Faso,NA,0.91,0.9,0.89,NA,0.94,0.95,0.92,0.94,0.88,0.9,0.91,0.9
Burundi,NA,NA,NA,0.92,0.98,NA,0.94,NA,NA,0.94,NA,NA,NA
Cambodia,NA,0.97,0.82,0.85,0.96,0.92,0.95,0.94,0.83,0.77,0.8,0.82,0.81
Cameroon,NA,0.94,0.95,0.92,0.95,0.95,0.93,0.93,0.95,0.94,0.93,0.94,0.94
Canada,0.45,NA,0.42,0.44,0.42,0.42,0.4,0.43,0.43,0.4,0.39,0.41,0.35
Central African Republic,NA,NA,0.95,NA,NA,0.98,0.97,NA,NA,NA,NA,0.97,0.96
Chad,NA,0.91,0.9,0.93,0.94,0.91,0.9,0.92,0.97,0.93,0.94,0.94,0.93
Chile,NA,0.68,0.74,0.73,0.71,0.73,0.7,0.67,0.66,0.6,0.66,0.61,0.66
China,NA,NA,NA,NA,NA,0.15,0.16,0.15,0.16,NA,NA,NA,0.17
Colombia,NA,0.85,0.87,0.88,0.85,0.87,0.88,0.89,0.88,0.9,0.85,0.86,0.84
Comoros,NA,NA,NA,NA,0.96,0.99,0.99,0.98,NA,NA,NA,NA,NA
Congo Brazzaville,NA,NA,NA,0.95,NA,NA,0.94,0.86,0.84,0.87,0.94,0.94,0.89
Congo Kinshasa,NA,NA,NA,NA,0.96,NA,0.97,0.94,0.94,0.91,0.91,0.92,0.95
Costa Rica,NA,0.84,0.85,0.84,0.79,0.83,0.81,0.83,0.81,0.82,0.82,0.81,0.83
Croatia,NA,NA,0.7,NA,0.7,0.7,0.59,0.59,0.54,0.58,0.68,0.62,0.65
Cuba,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,NA,0.75,NA,NA,0.77,0.72,0.76,0.72,0.75,0.74,0.7,0.71,0.7
Czech Republic,0.35,NA,0.23,NA,NA,0.24,0.2,0.27,0.3,0.25,0.22,0.26,0.25
Denmark,0.22,NA,0.21,0.19,0.2,0.18,0.19,0.19,0.18,0.17,0.21,0.2,0.19
Djibouti,NA,NA,NA,0.97,0.98,0.97,0.91,NA,NA,NA,NA,NA,NA
Dominican Republic,NA,0.88,0.85,0.87,0.89,0.87,0.92,0.9,0.9,0.9,0.87,0.88,0.87
Ecuador,NA,0.83,0.83,0.83,0.84,0.82,0.88,0.92,0.85,0.89,0.86,0.86,0.87
Egypt,0.98,NA,0.98,1,0.98,0.97,0.98,0.98,0.97,0.98,0.94,0.97,NA
El Salvador,NA,0.91,0.88,0.86,0.83,0.85,0.89,0.9,0.88,0.91,0.87,0.91,0.8
Estonia,NA,0.16,0.17,0.14,0.18,NA,0.23,0.21,0.21,0.23,0.24,0.24,0.18
Ethiopia,NA,NA,NA,NA,NA,NA,NA,0.96,0.98,0.98,0.98,0.97,0.99
Finland,NA,0.32,NA,0.31,NA,0.37,0.25,0.31,0.29,0.31,0.32,0.35,0.28
France,0.32,0.26,NA,0.24,0.29,0.25,0.28,0.28,0.24,0.33,0.34,0.31,0.31
Gabon,NA,NA,NA,NA,NA,NA,0.92,0.85,0.91,0.85,0.91,0.91,0.89
