"iso","country","dist.us","relational_mobility","responsibilism","tightness","relig_mean","mean_GDP","resmobility","power.distance","individualism","motivation","uncertainty.avoidance","long.term.orientation","indulgence","sample"
"ABW","Aruba",NA,NA,NA,NA,NA,27014.953761,NA,NA,NA,NA,NA,NA,NA,"no"
"AFG","Afghanistan",NA,NA,NA,NA,0.98,563.21023577,0.101,NA,NA,NA,NA,NA,NA,"no"
"AGO","Angola",NA,NA,82.64,NA,0.87,3340.3170854,0.0901,83,18,20,60,15,83,"no"
"ALB","Albania",0.1326,NA,NA,NA,0.4975,4648.1056473,0.0841,90,27,80,70,56,15,"no"
"AND","Andorra",0.1786,NA,NA,NA,NA,41589.409299,NA,NA,NA,NA,NA,NA,NA,"no"
"ARE","UAE",NA,NA,NA,0.484608742,NA,46054.562823,0.1844,74,36,52,66,22,22,"no"
"ARG","Argentina",0.0638,NA,59.59,-0.531806346,0.625,12200.7284647,0.0863,49,51,56,86,29,62,"no"
"ARM","Armenia",0.1122,NA,NA,0.205163972,0.7325,3836.1189464,0.0766,85,17,50,88,38,25,"no"
"ASM","American Samoa",NA,NA,NA,NA,NA,12333.066375,NA,NA,NA,NA,NA,NA,NA,"no"
"ATG","Antigua & Barbuda",NA,NA,NA,NA,NA,16271.636847,NA,NA,NA,NA,NA,NA,NA,"no"
"AUS","Australia",0.0329,0.138,30.01,-0.053445728,0.325,58590.270827,0.1313,38,73,61,51,56,71,"yes"
"AUT","Austria",NA,NA,34.57,0.210177967,0.4575,48692.45777,0.0775,11,77,79,70,47,63,"no"
"AZE","Azerbaijan",0.1133,NA,NA,NA,0.395,5775.5715312,0.0495,85,28,50,88,59,22,"no"
"BDI","Burundi",NA,NA,NA,NA,0.94,234.52341364,NA,NA,NA,NA,NA,NA,NA,"no"
"BEL","Belgium",NA,NA,28.45,NA,0.3325,45448.917286,0.1084,65,81,54,94,61,57,"no"
"BEN","Benin",NA,NA,NA,NA,0.855,1105.2256138,0.063,NA,NA,NA,NA,NA,NA,"no"
"BFA","Burkina Faso",0.1557,NA,NA,NA,0.9225,735.16330335,0.1246,70,15,50,55,27,18,"no"
"BGD","Bangladesh",0.1406,NA,70.17,NA,0.9775,1477.83884559,0.0716,80,5,55,60,38,20,"no"
"BGR","Bulgaria",0.1565,NA,NA,NA,0.4525,8339.2850519,0.0527,70,50,40,85,51,16,"no"
"BHR","Bahrain",0.2536,NA,NA,NA,0.95,25515.883763,0.2033,NA,NA,NA,NA,NA,NA,"no"
"BHS","Bahamas",NA,NA,69.8,NA,NA,29393.422166,NA,NA,NA,NA,NA,NA,NA,"no"
"BIH","Bosnia",0.0841,NA,NA,-0.431134579,0.7325,5315.3492229,0.0503,90,40,48,87,36,44,"no"
"BLR","Belarus",0.1153,NA,60.62,NA,0.3825,6635.3309716,0.0586,95,48,20,95,53,15,"no"
"BLZ","Belize",NA,NA,NA,NA,0.68,5918.8357078,NA,NA,NA,NA,NA,NA,NA,"no"
"BMU","Bermuda",NA,NA,NA,NA,NA,106384.668159,NA,NA,NA,NA,NA,NA,NA,"no"
"BOL","Bolivia",NA,NA,NA,NA,0.895,3024.5332602,0.1345,78,23,42,87,21,46,"no"
"BRA","Brazil",0.0678,0.203,56.01,-0.376231695,0.89,10390.9912013,0.1166,69,36,49,76,28,59,"yes"
"BRB","Barbados",NA,NA,72.49,NA,NA,19366.562996,NA,NA,NA,NA,NA,NA,NA,"no"
"BRN","Brunei",NA,NA,NA,NA,NA,35194.285722,NA,NA,NA,NA,NA,NA,NA,"no"
"BTN","Bhutan",NA,NA,NA,NA,0.97,3077.9035755,0.2035,94,52,32,28,NA,NA,"no"
"BWA","Botswana",NA,NA,NA,0.86045016,0.89,6857.0788892,0.1642,NA,NA,NA,NA,NA,NA,"no"
"CAF","Central African Republic",NA,NA,NA,NA,0.97,440.5845164,NA,NA,NA,NA,NA,NA,NA,"no"
"CAN","Canada",0.0173,0.175,32.28,-0.135152584,0.415,47596.093401,0.1751,39,72,52,48,54,68,"yes"
"CHE","Switzerland",0.0533,NA,30.03,NA,0.4,85579.327175,0.1101,34,79,70,58,42,66,"no"
"CHL","Chile",0.0627,0.109,52.63,-0.339407811,0.6575,14517.621917,0.0873,63,49,28,86,12,68,"yes"
"CHN","China",0.1618,NA,93.92,0.186152449,0.156666666666667,8195.7296139,0.0522,80,43,66,30,77,24,"yes"
"CIV","Ivory Coast",NA,NA,83.33,0.266124358,0.905,1901.5076027,NA,NA,NA,NA,NA,NA,NA,"no"
"CMR","Cameroon",NA,NA,NA,NA,0.9375,1526.2768042,0.2195,NA,NA,NA,NA,NA,NA,"no"
"COD","DRC",NA,NA,71.71,NA,0.94,459.36011621,0.1799,NA,NA,NA,NA,NA,NA,"no"
"COG","Congo Brazzaville",NA,NA,NA,NA,0.8775,2834.7683821,0.1587,NA,NA,NA,NA,NA,NA,"no"
"COL","Colombia",0.1032,0.199,62.06,-0.583601985,0.8875,6929.2993725,0.1365,67,29,64,80,6,83,"yes"
"COM","Comoros",NA,NA,NA,NA,0.985,1494.6722632,0.0602,NA,NA,NA,NA,NA,NA,"no"
"CPV","Cape Verde",NA,NA,NA,NA,NA,3881.7509445,NA,75,20,15,40,12,83,"no"
"CRI","Costa Rica",NA,NA,62.98,NA,0.8175,11510.9944075,0.1613,35,15,21,86,NA,NA,"no"
"CUB","Cuba",NA,NA,NA,NA,NA,7874.8438136,NA,NA,NA,NA,NA,NA,NA,"no"
"CUW","Curaçao",NA,NA,NA,NA,NA,19052.05285,NA,NA,NA,NA,NA,NA,NA,"no"
"CYM","Cayman Islands",NA,NA,NA,NA,NA,79003.564134,NA,NA,NA,NA,NA,NA,NA,"no"
