"","outcome","moderator","cor.est","bf","ci.lower","ci.upper","logbf","cor.lab","bf.type","bf.tran","bf.tran.dir","bf.lab"
"1","Positive affect","Relational mobility",0.18,0.587647556988929,-0.28,0.56,-0.53,"paste(italic(r), ' = 0.18')","BF['0,1']",1.7,-1.7,"paste(italic(BF['0,1']), ' = 1.7')"
"2","Positive affect","Responsibilism",0.01,0.379816867416936,-0.33,0.35,-0.97,"paste(italic(r), ' = 0.01')","BF['0,1']",2.63,-2.63,"paste(italic(BF['0,1']), ' = 2.63')"
"3","Positive affect","Tightness",-0.33,1.45877919500106,-0.62,0.04,0.38,"paste(italic(r), ' = -0.33')","BF['1,0']",1.46,1.46,"paste(italic(BF['1,0']), ' = 1.46')"
"4","Positive affect","Religiosity",0.01,0.379538751694849,-0.33,0.35,-0.97,"paste(italic(r), ' = 0.01')","BF['0,1']",2.63,-2.63,"paste(italic(BF['0,1']), ' = 2.63')"
"5","Positive affect","GDP",0.02,0.380119517394715,-0.32,0.35,-0.97,"paste(italic(r), ' = 0.02')","BF['0,1']",2.63,-2.63,"paste(italic(BF['0,1']), ' = 2.63')"
"6","Positive affect","Residential mobility",-0.22,0.735125755291841,-0.52,0.13,-0.31,"paste(italic(r), ' = -0.22')","BF['0,1']",1.36,-1.36,"paste(italic(BF['0,1']), ' = 1.36')"
"7","Positive affect","Power distance",-0.16,0.541976035288501,-0.47,0.19,-0.61,"paste(italic(r), ' = -0.16')","BF['0,1']",1.85,-1.85,"paste(italic(BF['0,1']), ' = 1.85')"
"8","Positive affect","Individualism",0.09,0.426338779246833,-0.25,0.42,-0.85,"paste(italic(r), ' = 0.09')","BF['0,1']",2.35,-2.35,"paste(italic(BF['0,1']), ' = 2.35')"
"9","Positive affect","Motivation",0.17,0.56128195090691,-0.18,0.48,-0.58,"paste(italic(r), ' = 0.17')","BF['0,1']",1.78,-1.78,"paste(italic(BF['0,1']), ' = 1.78')"
"10","Positive affect","Uncertainty avoidance",0.05,0.390433080982079,-0.3,0.38,-0.94,"paste(italic(r), ' = 0.05')","BF['0,1']",2.56,-2.56,"paste(italic(BF['0,1']), ' = 2.56')"
"11","Positive affect","Long term orientation",-0.21,0.682242637644068,-0.51,0.14,-0.38,"paste(italic(r), ' = -0.21')","BF['0,1']",1.47,-1.47,"paste(italic(BF['0,1']), ' = 1.47')"
"12","Positive affect","Indulgence",0.3,1.32292967234377,-0.05,0.58,0.28,"paste(italic(r), ' = 0.3')","BF['1,0']",1.32,1.32,"paste(italic(BF['1,0']), ' = 1.32')"
"13","Negative affect","Relational mobility",-0.07,0.48365856205947,-0.49,0.37,-0.73,"paste(italic(r), ' = -0.07')","BF['0,1']",2.07,-2.07,"paste(italic(BF['0,1']), ' = 2.07')"
"14","Negative affect","Responsibilism",-0.03,0.38371037150996,-0.37,0.31,-0.96,"paste(italic(r), ' = -0.03')","BF['0,1']",2.61,-2.61,"paste(italic(BF['0,1']), ' = 2.61')"
"15","Negative affect","Tightness",0.38,2.25201211752752,0.01,0.65,0.81,"paste(italic(r), ' = 0.38')","BF['1,0']",2.25,2.25,"paste(italic(BF['1,0']), ' = 2.25')"
"16","Negative affect","Religiosity",-0.08,0.417787285772754,-0.41,0.26,-0.87,"paste(italic(r), ' = -0.08')","BF['0,1']",2.39,-2.39,"paste(italic(BF['0,1']), ' = 2.39')"
"17","Negative affect","GDP",0,0.378717230689636,-0.34,0.34,-0.97,"paste(italic(r), ' = 0')","BF['0,1']",2.64,-2.64,"paste(italic(BF['0,1']), ' = 2.64')"
"18","Negative affect","Residential mobility",0.07,0.406772530993452,-0.27,0.4,-0.9,"paste(italic(r), ' = 0.07')","BF['0,1']",2.46,-2.46,"paste(italic(BF['0,1']), ' = 2.46')"
"19","Negative affect","Power distance",0.21,0.685781931371745,-0.14,0.51,-0.38,"paste(italic(r), ' = 0.21')","BF['0,1']",1.46,-1.46,"paste(italic(BF['0,1']), ' = 1.46')"
"20","Negative affect","Individualism",-0.03,0.381969239189361,-0.36,0.32,-0.96,"paste(italic(r), ' = -0.03')","BF['0,1']",2.62,-2.62,"paste(italic(BF['0,1']), ' = 2.62')"
"21","Negative affect","Motivation",-0.1,0.437909296978417,-0.43,0.24,-0.83,"paste(italic(r), ' = -0.1')","BF['0,1']",2.28,-2.28,"paste(italic(BF['0,1']), ' = 2.28')"
"22","Negative affect","Uncertainty avoidance",0.16,0.537438385550992,-0.19,0.47,-0.62,"paste(italic(r), ' = 0.16')","BF['0,1']",1.86,-1.86,"paste(italic(BF['0,1']), ' = 1.86')"
"23","Negative affect","Long term orientation",0.24,0.83242200514199,-0.11,0.53,-0.18,"paste(italic(r), ' = 0.24')","BF['0,1']",1.2,-1.2,"paste(italic(BF['0,1']), ' = 1.2')"
"24","Negative affect","Indulgence",-0.34,1.97851697788127,-0.61,0,0.68,"paste(italic(r), ' = -0.34')","BF['1,0']",1.98,1.98,"paste(italic(BF['1,0']), ' = 1.98')"
"25","Optimism","Relational mobility",0.37,1.3785664337442,-0.07,0.69,0.32,"paste(italic(r), ' = 0.37')","BF['1,0']",1.38,1.38,"paste(italic(BF['1,0']), ' = 1.38')"
"26","Optimism","Responsibilism",-0.34,2.08267262184028,-0.61,-0.01,0.73,"paste(italic(r), ' = -0.34')","BF['1,0']",2.08,2.08,"paste(italic(BF['1,0']), ' = 2.08')"
