"","site","n","language","modality","incentive","age","gender"
"1","AUS_01",250,"EN, ZH-S","online","paid","M = 35.25, SD = 12.77","103, 141, 5, 1"
"2","BRA_01",600,"PT-BR","online","volunteer","M = -295.64, SD = 8178.24","222, 374, 4"
"3","CAN_01",251,"EN, ZH-S, ES","online","paid","M = 34.51, SD = 11.17","114, 134, 2, 1"
"4","CHL_01",251,"EN, ES","online","paid","M = 28.58, SD = 7.63","167, 81, 2, 1"
"5","CHN_01",53,"ZH-S","online","paid","M = 31.21, SD = 10.41","22, 30"
"6","COL_01",296,"ES","online","volunteer","M = 23.72, SD = 7.26","110, 177, 4, 4"
"7","DEU_01",251,"EN, TR, ES, PL","online","paid","M = 30.29, SD = 9.14","163, 83, 5"
"8","DNK_01",314,"DA, EN, RU","online","paid","M = 47.64, SD = 18.02","147, 163, 1, 1"
"9","ESP_01",251,"EN, ES, RU","online","paid","M = 33.95, SD = 11.06","164, 81, 5, 1"
"10","FRA_01",250,"EN, RU, TR, ES","online","paid","M = 32.34, SD = 9.73","133, 114, 2, 1"
"11","GBR_01",251,"EN","online","paid","M = 38.49, SD = 12.38","88, 161, 1, 1"
"12","GHA_01",272,"EN","in-person, inperson","paid","M = 25.14, SD = 6.64","142, 124, 6"
"13","GRC_01",250,"EN, EL, RU, TR","online","paid","M = 32.28, SD = 9.43","142, 101, 5, 2"
"14","HUN_01",250,"EN, PT-BR","online","paid","M = 30.76, SD = 9.63","158, 86, 5, 1"
"15","IND_01",201,"EN, HI","online","volunteer","M = 25.21, SD = 12.41","124, 47, 4"
"16","IRL_01",250,"EN, PL, ZH-S","online","paid","M = 38.2, SD = 11.07","89, 157, 3, 1"
"17","ISR_01",248,"EN, RU","online","paid","M = 31.75, SD = 11.04","121, 122, 2, 3"
"18","ITA_01",250,"EN, ES, RU, TR","online","paid","M = 33.21, SD = 10.97","145, 97, 6, 2"
"19","JPN_01",245,"JA","online","credit","M = 20.46, SD = 1.25","64, 177, 2"
"20","KAZ_01",203,"RU, KAZ, EN, NO, TR","online","paid","M = 43.54, SD = 105.97","56, 143, 4"
"21","KOR_01",328,"KO","in-person","paid","M = 22.55, SD = 4.93","115, 204, 4, 5"
"22","MEX_01",252,"ES, EN","online","paid","M = 30.41, SD = 8.43","134, 111, 7"
"23","MKD_01",215,"MK, EN, TR","online","volunteer","M = 20.82, SD = 2.32","13, 195, 2, 3"
"24","MYS_01",408,"EN, ZH-S","online","volunteer, credit","M = 23.96, SD = 9.72","76, 314, 7, 8"
"25","NGA_01",252,"EN","online","paid","M = 10.62, SD = 246.45","82, 166, 2, 2"
"26","NGA_02",509,"EN","online","paid","M = 29.63, SD = 70.99","187, 317, 3"
"27","NLD_01",251,"EN, TR, RU, ZH-S","online","paid","M = 30.88, SD = 8.41","138, 110, 3"
"28","NOR_01",170,"NO, EN","online","volunteer, paid","M = 31.63, SD = 10.8","108, 58, 1, 2"
"29","POL_01",271,"PL","online","paid","M = 48.11, SD = 15.86","153, 114, 3, 1"
"30","POL_02",237,"PL, EN","online","paid","M = 27.3, SD = 8.16","157, 74, 4, 2"
"31","PRT_01",250,"PT-BR, EN","online","paid","M = 29.16, SD = 8.63","131, 114, 5"
"32","SWE_01",267,"SV, EN","online","volunteer, paid","M = 36.89, SD = 13.82","127, 133, 5, 2"
"33","THA_01",60,"TH, EN, ZH-S","online","volunteer","M = 33.04, SD = 12.22","14, 37, 9"
"34","TUR_01",308,"TR, RU","online","credit, paid","M = 27.8, SD = 11.27","91, 211, 3, 3"
"35","USA_01",353,"EN, ZH-S","online","credit","M = 26.1, SD = 97.26","74, 261, 12, 4"
"36","USA_02",396,"EN, ES, PT-BR","online","paid","M = 38.77, SD = 12.87","183, 207, 6"
"37","USA_02b",357,"EN","online","paid","M = 36.11, SD = 11.86","111, 236, 9, 1"
"38","USA_02c",444,"EN","online","paid","M = 39.47, SD = 13.1","194, 240, 9, 1"
"39","ZAF_01",257,"EN","online","paid","M = 29.24, SD = 8.53","86, 171"
