"","outcome","contrast","estimate","SE","df","t.ratio","p.value"
"1","gratitude","divine.grat - events",0.52,0.08,36.07,6.68,"***"
"2","gratitude","divine.grat - int.events",0.28,0.07,35.77,3.81,"***"
"3","gratitude","divine.grat - letter",-0.61,0.08,36.34,-7.51,"***"
"4","gratitude","divine.grat - list",-0.12,0.06,34.52,-1.87,"."
"5","gratitude","divine.grat - measure",0.44,0.07,35.78,6.09,"***"
"6","gratitude","divine.grat - mental.sub",-0.25,0.06,34.3,-3.9,"***"
"7","gratitude","divine.grat - naikan",-0.22,0.07,35.54,-3.16,"**"
"8","gratitude","divine.grat - text",-0.6,0.08,36.23,-7.45,"***"
"9","gratitude","events - int.events",-0.25,0.07,35.7,-3.59,"***"
"10","gratitude","events - letter",-1.13,0.09,37.06,-12.03,"***"
"11","gratitude","events - list",-0.64,0.08,36.31,-8.32,"***"
"12","gratitude","events - measure",-0.09,0.07,35.6,-1.27," "
"13","gratitude","events - mental.sub",-0.77,0.07,36.1,-10.41,"***"
"14","gratitude","events - naikan",-0.75,0.08,36.34,-9.79,"***"
"15","gratitude","events - text",-1.12,0.1,37.1,-11.61,"***"
"16","gratitude","int.events - letter",-0.88,0.08,36.4,-11.5,"***"
"17","gratitude","int.events - list",-0.4,0.07,35.28,-6.05,"***"
"18","gratitude","int.events - measure",0.16,0.07,36.1,2.28,"*"
"19","gratitude","int.events - mental.sub",-0.53,0.07,35.43,-7.95,"***"
"20","gratitude","int.events - naikan",-0.5,0.07,35.46,-7.6,"***"
"21","gratitude","int.events - text",-0.88,0.08,36.59,-10.76,"***"
"22","gratitude","letter - list",0.49,0.06,34.99,7.6,"***"
"23","gratitude","letter - measure",1.04,0.1,37.26,10.77,"***"
"24","gratitude","letter - mental.sub",0.36,0.07,35.31,5.36,"***"
"25","gratitude","letter - naikan",0.38,0.06,34.69,6.17,"***"
"26","gratitude","letter - text",0.01,0.06,33.72,0.1," "
"27","gratitude","list - measure",0.56,0.07,36.33,7.46,"***"
"28","gratitude","list - mental.sub",-0.13,0.06,33.2,-2.28,"*"
"29","gratitude","list - naikan",-0.1,0.06,33.72,-1.8,"."
"30","gratitude","list - text",-0.48,0.06,34.7,-7.47,"***"
"31","gratitude","measure - mental.sub",-0.69,0.07,36.26,-9.36,"***"
"32","gratitude","measure - naikan",-0.66,0.08,36.75,-8.3,"***"
"33","gratitude","measure - text",-1.04,0.1,37.24,-10.75,"***"
"34","gratitude","mental.sub - naikan",0.03,0.06,33.85,0.44," "
"35","gratitude","mental.sub - text",-0.35,0.07,35.05,-5.25,"***"
"36","gratitude","naikan - text",-0.38,0.06,34.63,-5.92,"***"
"37","pa","divine.grat - events",0.52,0.07,35.57,7.12,"***"
"38","pa","divine.grat - int.events",0.26,0.07,34.77,3.91,"***"
"39","pa","divine.grat - letter",-0.2,0.06,34.01,-3.17,"**"
"40","pa","divine.grat - list",0.01,0.06,33.17,0.1," "
"41","pa","divine.grat - measure",0.36,0.07,35.19,5.34,"***"
"42","pa","divine.grat - mental.sub",-0.05,0.06,33.64,-0.85," "
"43","pa","divine.grat - naikan",-0.09,0.06,34.42,-1.45," "
"44","pa","divine.grat - text",-0.27,0.07,34.39,-4.04,"***"
"45","pa","events - int.events",-0.26,0.07,35.55,-3.88,"***"
"46","pa","events - letter",-0.72,0.07,35.78,-10.11,"***"
"47","pa","events - list",-0.52,0.08,36.05,-6.89,"***"
"48","pa","events - measure",-0.16,0.07,35.58,-2.34,"*"
"49","pa","events - mental.sub",-0.58,0.06,34.87,-8.95,"***"
"50","pa","events - naikan",-0.62,0.07,35.25,-9.34,"***"
"51","pa","events - text",-0.79,0.08,35.97,-10.51,"***"
"52","pa","int.events - letter",-0.46,0.07,35.67,-6.63,"***"
"53","pa","int.events - list",-0.25,0.07,35.07,-3.88,"***"
"54","pa","int.events - measure",0.11,0.07,35.85,1.55," "
"55","pa","int.events - mental.sub",-0.31,0.06,35.17,-4.79,"***"
"56","pa","int.events - naikan",-0.35,0.06,35.2,-5.45,"***"
"57","pa","int.events - text",-0.53,0.07,35.76,-7.39,"***"
"58","pa","letter - list",0.21,0.06,34.96,3.2,"**"
"59","pa","letter - measure",0.56,0.08,36.47,7.25,"***"
"60","pa","letter - mental.sub",0.15,0.07,35.03,2.26,"*"
"61","pa","letter - naikan",0.11,0.06,34.72,1.69,"."
"62","pa","letter - text",-0.07,0.06,33.76,-1.16," "
"63","pa","list - measure",0.36,0.07,35.6,5.26,"***"
"64","pa","list - mental.sub",-0.06,0.06,34.2,-0.96," "
"65","pa","list - naikan",-0.1,0.06,34.35,-1.64," "
"66","pa","list - text",-0.28,0.06,34.63,-4.28,"***"
"67","pa","measure - mental.sub",-0.42,0.06,34.54,-6.78,"***"
"68","pa","measure - naikan",-0.46,0.07,35.93,-6.58,"***"
"69","pa","measure - text",-0.63,0.08,36.65,-7.77,"***"
"70","pa","mental.sub - naikan",-0.04,0.06,34.13,-0.69," "
"71","pa","mental.sub - text",-0.22,0.07,35.09,-3.21,"**"
"72","pa","naikan - text",-0.18,0.06,34.14,-2.85,"**"
"73","optimism","divine.grat - events",0.38,0.08,35.9,4.72,"***"
"74","optimism","divine.grat - int.events",0.17,0.07,35.17,2.37,"*"
"75","optimism","divine.grat - letter",-0.08,0.07,34.01,-1.23," "
"76","optimism","divine.grat - list",-0.03,0.06,33.06,-0.49," "
"77","optimism","divine.grat - measure",0.31,0.07,35.25,4.32,"***"
"78","optimism","divine.grat - mental.sub",0.02,0.07,34.41,0.22," "
"79","optimism","divine.grat - naikan",-0.07,0.07,34.82,-1.02," "
"80","optimism","divine.grat - text",-0.17,0.07,34.72,-2.33,"*"
"81","optimism","events - int.events",-0.21,0.07,35.52,-2.97,"**"
"82","optimism","events - letter",-0.46,0.07,35.37,-6.54,"***"
"83","optimism","events - list",-0.41,0.08,35.83,-5.44,"***"
"84","optimism","events - measure",-0.07,0.07,35.7,-1," "
"85","optimism","events - mental.sub",-0.37,0.07,34.88,-5.41,"***"
"86","optimism","events - naikan",-0.45,0.07,35.51,-6.39,"***"
"87","optimism","events - text",-0.55,0.07,34.71,-8,"***"
"88","optimism","int.events - letter",-0.25,0.06,34.57,-3.9,"***"
"89","optimism","int.events - list",-0.2,0.07,34.71,-3.05,"**"
"90","optimism","int.events - measure",0.14,0.07,35.23,2.08,"*"
"91","optimism","int.events - mental.sub",-0.15,0.06,34.02,-2.48,"*"
"92","optimism","int.events - naikan",-0.24,0.07,34.82,-3.69,"***"
"93","optimism","int.events - text",-0.34,0.07,34.53,-5.08,"***"
"94","optimism","letter - list",0.05,0.06,34.17,0.8," "
"95","optimism","letter - measure",0.39,0.07,35.65,5.5,"***"
"96","optimism","letter - mental.sub",0.1,0.06,34.32,1.5," "
"97","optimism","letter - naikan",0.01,0.06,33.89,0.15," "
"98","optimism","letter - text",-0.09,0.06,33.63,-1.37," "
"99","optimism","list - measure",0.34,0.07,34.7,5.21,"***"
"100","optimism","list - mental.sub",0.05,0.06,34.04,0.72," "
"101","optimism","list - naikan",-0.04,0.07,34.91,-0.62," "
"102","optimism","list - text",-0.14,0.07,34.7,-2.01,"."
"103","optimism","measure - mental.sub",-0.29,0.06,34.09,-4.71,"***"
"104","optimism","measure - naikan",-0.38,0.08,36.29,-4.96,"***"
"105","optimism","measure - text",-0.48,0.08,35.94,-6.33,"***"
"106","optimism","mental.sub - naikan",-0.09,0.07,34.95,-1.3," "
"107","optimism","mental.sub - text",-0.18,0.07,34.42,-2.73,"**"
"108","optimism","naikan - text",-0.1,0.06,33.32,-1.55," "
"109","na","divine.grat - events",-0.46,0.09,36.14,-5.34,"***"
"110","na","divine.grat - int.events",-0.29,0.08,35.98,-3.62,"***"
"111","na","divine.grat - letter",0.08,0.07,33.87,1.24," "
"112","na","divine.grat - list",-0.1,0.07,33.69,-1.58," "
"113","na","divine.grat - measure",-0.25,0.08,35.48,-3.37,"**"
"114","na","divine.grat - mental.sub",-0.07,0.07,34.94,-0.95," "
"115","na","divine.grat - naikan",-0.05,0.07,34.86,-0.72," "
"116","na","divine.grat - text",0.07,0.07,34.39,1.02," "
"117","na","events - int.events",0.16,0.07,35,2.4,"*"
"118","na","events - letter",0.54,0.08,36.09,6.71,"***"
"119","na","events - list",0.35,0.07,35.59,4.73,"***"
"120","na","events - measure",0.2,0.07,34.52,3.12,"**"
"121","na","events - mental.sub",0.39,0.08,36,4.93,"***"
"122","na","events - naikan",0.41,0.08,36.37,4.83,"***"
"123","na","events - text",0.53,0.08,36.21,6.33,"***"
"124","na","int.events - letter",0.37,0.07,35.34,5.3,"***"
"125","na","int.events - list",0.19,0.07,34.92,2.77,"**"
"126","na","int.events - measure",0.04,0.06,34.13,0.63," "
"127","na","int.events - mental.sub",0.22,0.07,34.62,3.38,"**"
"128","na","int.events - naikan",0.24,0.07,35.61,3.32,"**"
"129","na","int.events - text",0.37,0.07,35.05,5.15,"***"
"130","na","letter - list",-0.19,0.06,33.75,-3,"**"
"131","na","letter - measure",-0.34,0.07,34.98,-4.95,"***"
"132","na","letter - mental.sub",-0.15,0.06,33.94,-2.38,"*"
"133","na","letter - naikan",-0.13,0.06,34.1,-2.11,"*"
"134","na","letter - text",-0.01,0.07,34.13,-0.14," "
