"","country","control_condition","intervention_condition","contrast","pa_mean","na_mean","optimistic_mean","ls_mean","ladder","envy_mean","indebted_mean","gratitude_mean","guilty","ss_mean"
"1","Poland","All","All","All vs. All",0.142121107815753,-0.169265726538306,0.1299299668266,0.0855833940094544,0.0333925774658234,-0.11951849193932,-0.0229551198403289,0.244105660093204,-0.0466950116826883,0.0387264982050543
"2","Denmark","All","All","All vs. All",0.157823431527741,-0.130778015867839,0.164215420791733,0.0601394256199897,0.159725319436175,-0.131528860847018,-0.0313453281800897,0.215476292590776,-0.200903517629929,0.197232401139988
"3","Turkey","All","All","All vs. All",0.480658722746074,-0.17059290332586,0.378769093949227,0.0647342835289719,0.00952640621530652,0.133943467740401,-0.097243574665286,0.740763601905214,-0.0943181516212879,0.18152498976949
"4","Malaysia","All","All","All vs. All",0.481341242266139,-0.597391412437784,0.306449659694788,-0.0651791344132193,-0.113734478145536,-0.422311369218549,0.0207555284746242,0.675105056479055,-0.203096395899472,-0.00730919180207403
"5","United States","All","All","All vs. All",0.346805327641356,-0.224340700452604,0.252761511967868,0.127105422511447,0.136538722179493,-0.184516683209344,0.155815864456622,0.470173768930064,-0.056278010461706,0.176941293652566
"6","Nigeria","All","All","All vs. All",0.225096654478335,-0.136734354843125,0.0328536529551463,0.0240388722851038,0.0176241434033253,-0.110998019990939,0.0893617897391521,0.203089584994719,0.0113471298621031,0.16099262697086
"7","Canada","All","All","All vs. All",0.688598538620058,-0.399270730965818,0.501346237092732,0.19808161467147,0.307312518162446,-0.317577115856257,0.0962616485577018,0.685800247706357,0.00304277644482609,0.220184015575991
"8","France","All","All","All vs. All",0.221528518517312,-0.136479181669367,0.350433900765555,-0.0162020704408895,-0.0338672564766903,-0.326450389452516,0.228066466490976,0.743907432735887,0.0315340973696632,0.163537572494859
"9","Australia","All","All","All vs. All",0.388259260398246,0.0542638349264886,0.397239334224978,-0.0623993383113165,-0.022272089245254,0.0537188050570094,0.427766926831173,0.643194644691367,-0.037269035002398,0.0985606804237673
"10","Chile","All","All","All vs. All",0.663085100271672,-0.422106736343811,0.474593577607759,0.0780505196112776,-0.0822686144553833,-0.232858923976729,0.201375828638258,0.974792470898527,-0.0678148601799371,0.00412401922191391
"11","Germany","All","All","All vs. All",0.576903356994106,-0.322116008169599,0.483059200958692,0.195365371445391,0.226356449599197,-0.231032338403897,0.253401303873033,0.632353895200972,-0.0893304356419138,0.222242131357703
"12","Greece","All","All","All vs. All",0.311817022168336,-0.0037800986755955,0.368016856389368,0.212132048013318,0.200593555192684,0.00685129134580322,0.187707766037852,0.886836935452429,0.144196218397535,0.13515516827381
"13","Hungary","All","All","All vs. All",0.363130685261008,-0.273449332325571,0.127258341596564,0.138362092557561,0.135487889198531,-0.25216951653044,0.0275153519515963,0.391296512914195,-0.030633982393079,0.0995723885247861
"14","Israel","All","All","All vs. All",0.560423725309985,-0.695329110790235,0.39064131575928,0.40137558595581,0.494054169448898,-0.459856985699111,0.03067932615799,0.727105603372574,-0.208999279115049,0.0912635651308113
"15","Ireland","All","All","All vs. All",0.559089983764974,-0.345437735843656,0.370896323438996,0.13037404716892,0.146016808293002,-0.130110820667291,0.280272298076601,0.758200867704098,-0.171461665030852,0.170770786550535
"16","Mexico","All","All","All vs. All",0.836853904833654,-0.590805847404501,0.643578138283297,0.278547798077009,0.12626597019041,-0.325123646342568,0.0546179834884452,1.0207238698261,-0.129102437086301,0.464756521614298
"17","Italy","All","All","All vs. All",0.363126308780206,-0.425409828766931,0.259240639488088,0.0637122693370178,0.0457012284017875,-0.313889967138078,0.230519544345379,0.679823109693895,-0.157134987716399,0.168839820631196
"18","Portugal","All","All","All vs. All",0.480699031743911,-0.162604208603918,0.202623668635261,0.205175920976706,0.0342480561713057,-0.145558625407027,0.0299152163737663,0.677357346152488,-0.211184636806197,-0.166843818247701
"19","Brazil","All","All","All vs. All",0.219633556558847,-0.157781045909743,0.0674848077384819,0.0883490492460415,0.052658865751031,0.000768872629926484,0.149161180495328,0.178706889845411,-0.0672603158642347,0.1392850892929
"20","Netherlands","All","All","All vs. All",0.385720506692547,-0.430864338331056,0.260960463685928,0.302012190808285,0.165747299463428,-0.239756676485658,-0.0606917648035707,0.539889611293227,-0.164010503705622,0.0604852753200926
"21","United Kingdom","All","All","All vs. All",0.373821010163493,-0.342538707887761,0.181453449410395,0.0994698395560377,0.0256605305986356,-0.271719840119613,0.493714096996641,0.604741918908489,0.043279513123403,0.24780012448824
"22","Spain","All","All","All vs. All",0.558278054024741,-0.026251695320458,0.310600617223224,0.236836359963512,0.136172831349577,-0.0664289983044119,0.268389885686497,0.861814382558216,0.134446315038125,-0.0642605499185185
"23","South Africa","All","All","All vs. All",0.52779142412027,-0.594543244934433,0.143396512687833,0.310468266752929,0.119732677486907,-0.524862230455889,0.145938364789141,0.49124137152774,-0.390361402326241,0.269777830479413
"24","South Korea","All","All","All vs. All",0.432229988461725,-0.238242703617618,0.283361453677863,0.296307291837938,0.331198335356166,-0.275032320693335,0.141320395542629,0.789834907386021,-0.222469314814648,-0.0115748054989666
"25","Sweden","All","All","All vs. All",0.374104872026851,-0.173000853276582,0.342605422153173,0.212958106275737,0.142676066447909,-0.135679558045778,0.131766452647499,0.454477690759433,-0.0236489410146149,0.293667996527339
"26","India","All","All","All vs. All",0.290464346317212,-0.0483196066923072,-0.19832775433973,0.139979297300277,0.239963157580096,-0.113282999116101,0.156075102649797,0.348858953448806,-0.123895957504301,-0.236105413176314
"27","Colombia","All","All","All vs. All",0.371269811719894,-0.160241029319852,0.363577013819841,0.0723340051608883,0.221648437216343,0.0557058118837436,0.229316981467182,0.3504616352722,0.0170667963192235,0.198533593596084
"28","China","All","All","All vs. All",0.0477304714495593,-0.0464341658751005,-0.0363058037851031,-0.179549981380731,-0.228866652419724,-0.315484231676532,0.451487508520894,0.807177746337712,0.444591164107102,-0.0629982208659
"29","Kazakhstan","All","All","All vs. All",0.250478511658672,0.0279000738187592,0.219601275054771,0.031741099013729,0.0926157261125179,0.0230971297303912,0.0894039830697199,0.311943611822331,0.0460569696572259,0.0465745572546862
"30","Norway","All","All","All vs. All",0.0537985728644808,0.0431197418778157,0.217876628842795,0.110550444461903,0.0167346755548713,-0.0558080163821672,0.519237781713516,0.191048695393463,0.27186899987886,0.0728268464677927
"31","Japan","All","All","All vs. All",0.14957673684486,0.0375157228844347,0.138505508571211,0.00365589715939572,-0.0542390929217616,0.0804078288870503,0.239269033054861,0.472953964399431,0.151279990550428,0.0254375292499496
"32","Ghana","All","All","All vs. All",0.182748042027715,-0.0715698541073566,0.162652392216006,-0.0185768331530345,-0.0422947896924839,-0.0537664081786714,0.188745101071604,0.480085774054056,-0.230157150852495,0.0471494946401286
"33","Thailand","All","All","All vs. All",0.110256757784389,0.117614141410662,-0.0771624405814582,0.0451596738879054,-0.0275246640689604,-0.0928063649910572,0.0286296610622359,0.342236016942069,0.122219564637724,-0.329312621626898
"34","Macedonia","All","All","All vs. All",0.0962647684755991,0.0851131066007606,-0.0885962799232204,-0.11223748002639,-0.021758202698825,0.118462415956425,0.056321013375181,0.24091982148472,0.186480315032753,-0.134756705071295
