"","country","control_condition","intervention_condition","contrast","pa_effect_size","na_effect_size","optimistic_effect_size","ls_effect_size","ladder_effect_size","envy_effect_size","indebted_effect_size","gratitude_effect_size","guilty_effect_size","ss_effect_size"
"1","NA","events","sub","events vs sub",0.423614978797162,-0.259162069465834,0.261643408348896,0.142771002376504,0.181352884831842,-0.160115023364294,0.0725474978760373,0.548381509651777,-0.114094255977326,0.197378660513968
"2","NA","events","list","events vs list",0.380324216032757,-0.243298915122226,0.287671784188134,0.125788804492957,0.129190154863198,-0.137376473930391,0.0951321632229862,0.456784545268717,-0.129076795732679,0.181372086651732
"3","NA","events","hk.list","events vs hk.list",0.451695864267876,-0.270817904895844,0.320539752861255,0.129077360740535,0.138067938334597,-0.144283882087784,0.106976915687235,0.530617798882117,-0.12703717398395,0.18487570525311
"4","NA","events","letter","events vs letter",0.519619740350559,-0.370031585872386,0.320773282424283,0.110437628055624,0.135987201603574,-0.316289801031608,0.257366992217447,0.782426507582072,-0.0375633766330821,0.234246323767046
"5","NA","events","god.letter","events vs god.letter",0.392831271122897,-0.322488414183549,0.282469449162653,0.170897695893755,0.181252849948616,-0.160282541288498,0.0772336732877886,0.367364042527906,-0.154378464813023,0.212192980660835
"6","NA","events","text","events vs text",0.577209692310941,-0.355382932391534,0.379860324988695,0.120665535436997,0.124219048531051,-0.290900786017067,0.224606485525514,0.787185569262608,-0.122006600816851,0.221146722544839
"7","NA","measure","sub","measure vs sub",0.303597196020109,-0.127321803799571,0.205435009147826,0.11409415508896,0.104965835096133,-0.0869173069976981,0.0623649994381251,0.485244484537376,-0.0110929757397634,0.0802575239632952
"8","NA","measure","list","measure vs list",0.260067267033096,-0.109206047385359,0.231329066817151,0.0971443618875972,0.0533553833154676,-0.0619876379767547,0.084562980386668,0.391891617122603,-0.0245958985157503,0.0651947581321357
"9","NA","measure","hk.list","measure vs hk.list",0.331026604968706,-0.13975363754966,0.263935003502778,0.100902629465168,0.0618554773307287,-0.071791456847996,0.0967597406815993,0.466323718984249,-0.0248713434329279,0.0684794481601714
"10","NA","measure","letter","measure vs letter",0.402036073770778,-0.238783106580258,0.264815540668236,0.0823804375403908,0.0604072473339427,-0.243976409356636,0.246646921996739,0.722271052945492,0.0650504258270191,0.120071994723458
"11","NA","measure","god.letter","measure vs god.letter",0.274872839597127,-0.190755443819373,0.226658243475579,0.142308656880504,0.106166775433848,-0.0872459093714999,0.0670118497460569,0.305467472205751,-0.0513210698057894,0.0997306535836881
"12","NA","measure","text","measure vs text",0.459924963690143,-0.226237468063822,0.324933313921683,0.0925044142117807,0.0487151617077232,-0.220499054094183,0.214380198026874,0.727423707604574,-0.0196716313938251,0.107442866958387
"13","NA","int.events","sub","int.events vs sub",0.235209879751402,-0.157632592224274,0.115790670906137,0.0970792528854041,0.0830733473362526,-0.106778133538349,0.106448657615582,0.376531026144046,-0.0615027045508371,0.082128337831784
"14","NA","int.events","list","int.events vs list",0.191026957470084,-0.139821551732776,0.141420161032119,0.0801625968389135,0.0317926976056447,-0.0829793000723,0.129766845464991,0.282475783143962,-0.075774542056196,0.0668377174301221
"15","NA","int.events","hk.list","int.events vs hk.list",0.262656858279992,-0.169981346067771,0.17348656066443,0.0841146289225873,0.0401551673219619,-0.0917584388379776,0.140575090253152,0.356483373930099,-0.0748708411785374,0.0701773193157493
"16","NA","int.events","letter","int.events vs letter",0.335780794957009,-0.270696040112293,0.175140275008161,0.0656745966033973,0.0388645268388722,-0.260409994126719,0.290440063599557,0.613914742689521,0.0149526539279567,0.122216891485497
"17","NA","int.events","god.letter","int.events vs god.letter",0.207095045650215,-0.222013804323143,0.137404288652594,0.125297749470415,0.0845748269368768,-0.107043309496757,0.11117403579473,0.201480989696402,-0.101881210970256,0.101564845381274
"18","NA","int.events","text","int.events vs text",0.394494589224471,-0.257326642466504,0.236204030925052,0.0757302041109854,0.0272321197685351,-0.236849634212241,0.257079081065284,0.619263954041174,-0.069794768472739,0.109450828255549
