effect_size_column,language,effect_size,ci_lower,ci_upper,p_value,tau
envy_effect_size,all,-0.155982302,-0.239008307,-0.072956298,0.000231215,0
envy_effect_size,english,-0.213861472,-0.307012267,-0.120710678,6.80145E-06,0
indebted_effect_size,all,0.154491627,0.072232457,0.236750796,0.000232299,0
indebted_effect_size,english,0.171393615,0.060984822,0.281802408,0.002345755,0
ls_effect_size,all,0.117164756,0.076043414,0.158286099,2.34486E-08,0
ls_effect_size,english,0.135038414,0.071130646,0.198946181,3.45126E-05,0
na_effect_size,all,-0.218036182,-0.296276892,-0.139795471,4.71061E-08,0
na_effect_size,english,-0.286479267,-0.38464684,-0.188311694,1.06712E-08,0
optimism_effect_size,all,0.2428083,0.181321324,0.304295275,9.95908E-15,0
optimism_effect_size,english,0.283630676,0.200310007,0.366951345,2.52539E-11,0
pa_effect_size,all,0.36728349,0.279447769,0.455119211,2.49441E-16,0
pa_effect_size,english,0.439249349,0.33184855,0.546650149,1.09343E-15,0
