"","Progress","Duration..in.seconds.","ResponseId","consent","condition","control_events","control_interesting","grat_list","grat_letter","grat_text","grat_hk_list","grat_sing_sub","grat_god_letter","meals_attention","attention_check","goal_check","hypothesis_check","intervention_check","intervention_check_2","intervention_check_3","ai","copy_paste","copy_paste_yes","feedback","lab"
"1",100,1199,"R_5zzNFWqp6MxcPct",1,"int.events","","My daughter [9 years old] had an amazing day at school which brightened my mood hearing this. I spent last night playing a game with my husband and friend. Money I was waiting to clear in my bank account got cleared. I talked to my mom about my dog that recently passed away. I spent a lot of time outside instead of keeping myself cooped inside the house all day.","","","","","","",4,5,"Decision making and greed.","To determine better how people in different situations might handle different problems, also to determine how willing we are to help strangers and loved ones.",1,"Yes I feel like it was extremely beneficial. It allowed me to view situations in my life differently.",1,2,2,"","Not that I can think of.","USA_02c"
"2",100,924,"R_6zkDgoxr6bDiX8B",1,"text","","","","","Uncle Tommy,

I wanted to reach out and thank you for helping me fix my alternator on my truck. I was having a terrible day dealing with the repercussions of missing work, as well as, not being able to afford fixing it. You coming over and showing me how to work on the truck has greatly helped my self esteem and ability to jump headfirst into unknown territories. I don't know where id be without you, thank you!","","","",4,4,"Emotional processes","The general degree of emotional response to ones situation",2,"",3,2,2,"","","USA_02c"
"3",100,1133,"R_68zDOZ8SCiQqOxk",1,"measure","","","","","","","","",4,5,"I'm not sure.","I'm not sure.",1,"Yes, but gratitude is like a muscle, you have to keep working at it otherwise you can lose the benefits. I'm having some mental struggles at the moment that may be impacting my overall outlook on life, but in general I'm the type of person to be grateful for what I have because I've definitely had less to be grateful for in the past. ",1,2,2,"","No","USA_02c"
"4",100,1033,"R_6f6PQVdJTD0NIeG",1,"events","Dinner with new friends, attended a major league baseball game, dealt with bad case of vertigo, conversation with my husband about an upcoming holiday weekend, wine tasting with friends","","","","","","","",4,4,"social interactions and comparisons","life satisfaction",1,"yes",1,2,2,"","","USA_02c"
"5",100,1890,"R_3rdAfVv3gASlBRC",1,"god.letter","","","","","","","","I want to thank Source for the experiences I have been able to have in this lifetime. All of my experiences, whether good or bad, have been beneficial to my soul.",4,5,"Unsure","I really don't know",1,"I think so",1,2,2,"","N/a","USA_02c"
"6",100,1054,"R_3wmgioPJCejRkSR",1,"int.events","","My friend told me a story that started with ""it all started with a turtle"" and I recalled that I had recently seen a turtle in the road as well, and I could also start a wild story with ""it all started with a turtle"" too. I ""met"" my friend's brother online, and got to know him. I also met her son whom she is estranged from. I'm encouraged to help both family members be able to recover from their personal problems through my interactions with them. I spent time explaining to my friend why she wasn't able to meet ""her person"". We found it resonated and made a lot of sense to her and it helped her make a determination about her path in life. I also spent time talking to her grandmother, and we have plans for me to meet her grandson and her son (my friend's son and also her brother) in person sometime this summer. ","","","","","","",4,4,"Seeing how sympathetic peple are to those who aren't close to them","Measuring how altruistic someone is when the person in need isnt close to them",1,"yes",3,2,2,"","no","USA_02c"
"7",100,965,"R_7IT8xPwwRkjkuKG",1,"text","","","","","Just wanted to let you know how much i love you and how grateful I am to have you in my life!","","","",4,5,"perceptions and attitudes about life","not sure",2,"",3,2,2,"","not applicable","USA_02c"
"8",100,1835,"R_3xVIbo1bv0TMVPZ",1,"events","seeing neighbor's. night feedings. eating food. not using my phone. excising. ","","","","","","","",4,5,"Sibling bonds/closeness","How close you are to your siblings no matter the age gap",2,"",3,2,2,"","","USA_02c"
"9",100,1293,"R_3j66B5n0QyeZLoZ",1,"hk.list","","","","","","1. I am grateful for an enjoyable walk that I had with my dog. 
2. I am grateful times that I connected with my son in the midst of challenges.
3.  I am grateful for time talking with family ","","",4,5,"gratitude, connection and generosity","The relationship between religious faith and family connection to gratitude and mental wellbeing",1,"Yes, when I did it",1,2,2,"","None","USA_02c"
"10",100,1779,"R_7BA5ySbxqJ9vmy6",1,"sub","","","","","","","I am grateful for the moments I spend with my daughter. My life would not be full if she was not around. In the last 24 hours I was feeding her cereal. I would be distraught and disappointed if i I missed these special moments with my daughter as I watch her grow.","",4,5,"Religiosity and outlook on life/perceptions of happiness","There is some correlation between outlooks on life and religiosity.",2,"",1,2,2,"","","USA_02c"
